번호,제목,요약,원본링크,네이버뉴스링크,게시일
330,신세계百 영등포 상권 바꾼다,서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 '서울호떡'도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게 달라진다. 캐주얼... ,http://www.wsobi.com/news/articleView.html?idxno=93626,http://www.wsobi.com/news/articleView.html?idxno=93626,2020-03-26 15:04:00
331,"신세계百, 영등포점 10년만에 '재단장'...&quot;영등포 상권 바꾼다&quot;","서울 홍대와 <b>부산 서면</b> 등에서 입소문 난 '서울호떡'도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 가격은 서울호떡 1500원, 사랑호떡 2500원이다.... ",http://www.wikileaks-kr.org/news/articleView.html?idxno=81601,http://www.wikileaks-kr.org/news/articleView.html?idxno=81601,2020-03-26 11:56:00
332,"신세계百, 영등포에 새 바람…10년만의 리뉴얼",특히 기존 영등포에서는 볼 수 없던 인기 <b>맛집</b>과 유명 브랜드를 대거 입점시켜 고객들의 발길을 사로잡을... 서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 '서울호떡'도 팝업으로 운영한다. 패션관 2층도 새롭게 달라진다.... ,http://www.metroseoul.co.kr/article/20200326500141,http://www.metroseoul.co.kr/article/20200326500141,2020-03-26 11:00:00
333,"&quot;리뉴얼 완료&quot;…신세계百, 영등포 상권 지형 바꾼다",서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 '서울호떡'도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게 달라진다. 캐주얼... ,http://www.inews24.com/view/1253078,https://n.news.naver.com/mnews/article/031/0000531403?sid=101,2020-03-26 10:01:00
334,"신세계百, 10년 만에 영등포점 리뉴얼 완성...명품라인 강화",[사진=신세계백화점] 2020.03.26 nrd8120@newspim.com 특히 기존 영등포에서는 볼 수 없던 인기 <b>맛집</b>과 유명... 이 밖에도 수요미식회 등 유명 방송에 자주 등장한 '또이또이 베트남'도 입점했고 서울 홍대와 <b>부산 서면</b> 등에서... ,http://www.newspim.com/news/view/20200326000127,http://www.newspim.com/news/view/20200326000127,2020-03-26 09:04:00
335,"신세계 영등포점, 개점 10년 만의 리뉴얼 완성",서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게 달라진다. 캐주얼... ,https://www.dailian.co.kr/news/view/878802?sc=Naver,https://n.news.naver.com/mnews/article/119/0002391479?sid=101,2020-03-26 08:49:00
336,"식품부터 패션까지...신세계百 영등포점, 10년 리뉴얼 마침표","서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 가격은 서울호떡 1500원, 사랑호떡... ",https://www.asiatime.co.kr/news/newsview.php?ncode=1065569057525267,https://www.asiatime.co.kr/news/newsview.php?ncode=1065569057525267,2020-03-26 08:46:00
337,"식품부터 패션까지···신세계百, 영등포 상권 바꾼다",서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 '서울호떡'도 팝업으로 운영한다. SNS에서 인기몰이를 하는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게 달라진다. 캐주얼 위주였던... ,http://www.m-i.kr/news/articleView.html?idxno=695342,http://www.m-i.kr/news/articleView.html?idxno=695342,2020-03-26 08:46:00
338,"'식품부터 패션까지' 신세계百 영등포점, 10년 만의 리뉴얼 마무리",특히 기존 영등포에서는 볼 수 없던 인기 <b>맛집</b>과 유명 브랜드를 대거 입점시켜 고객들의 발길을 사로잡을... 서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 '서울호떡'도 팝업으로 운영한다. 패션관 2층도 새롭게 달라진다.... ,http://news.tf.co.kr/read/economy/1786960.htm,https://n.news.naver.com/mnews/article/629/0000020193?sid=101,2020-03-26 08:22:00
339,"해외패션부터 <b>맛집</b>까지·· 신세계百, 영등포 상권에 새바람","서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 '서울호떡'도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 가격은 서울호떡 1500원, 사랑호떡 2500원.... ",http://www.slist.kr/news/articleView.html?idxno=144881,http://www.slist.kr/news/articleView.html?idxno=144881,2020-03-26 07:16:00
340,"식품부터 패션까지…신세계百 영등포점, 개점 10년 만의 리뉴얼 완성",서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. 소셜네트워크서비스(SNS)에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게... ,https://view.asiae.co.kr/article/2020032606541755879,https://n.news.naver.com/mnews/article/277/0004649642?sid=101,2020-03-26 06:54:00
341,"신세계百 영등포점 10년만에 리뉴얼… “기존 틀을 깨고, 상권 바꾼다”",서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게 달라진다. 캐주얼... ,http://biz.newdaily.co.kr/site/data/html/2020/03/25/2020032500234.html,http://biz.newdaily.co.kr/site/data/html/2020/03/25/2020032500234.html,2020-03-26 06:02:00
342,"신세계百 영등포점, 리뉴얼 완성…&quot;식품부터 패션까지 상권 바꾼다&quot;",서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. 사회관계망서비스(SNS)에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 패션관 2층도 새롭게... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01462886625707256,https://n.news.naver.com/mnews/article/018/0004605952?sid=101,2020-03-26 06:01:00
343,신세계百 영등포점 10년만 리뉴얼 완료...&quot;영등포 상권 바꾼다&quot;,"서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 가격은 서울호떡 1500원, 사랑호떡 2500원.... ",https://www.fetv.co.kr/news/article.html?no=51037,https://www.fetv.co.kr/news/article.html?no=51037,2020-03-26 06:00:00
344,식품부터 패션까지… '영등포 상권' 어떻게 변신할까?,"서울 홍대와 <b>부산 서면</b> 등에서 입소문이 난 ‘서울호떡’도 팝업으로 운영한다. SNS에서 인기몰이를 하고 있는 지역 <b>맛집</b>으로 천년초를 통해 분홍색을 낸 하트 모양 호떡이다. 가격은 서울호떡 1500원, 사랑호떡 2500원.... ",http://moneys.mt.co.kr/news/mwView.php?no=2020032517388030544,https://n.news.naver.com/mnews/article/417/0000522665?sid=101,2020-03-26 05:51:00
345,소문난 <b>맛집</b>에 대기 줄… 2030으로 다시 북적이는 <b>서면</b>,휴일인 15일 오후 <b>부산</b> <b>부산</b>진구 <b>서면</b> 지하상가에서 마스크를 쓴 시민들이 상점을 둘러보며 지나가고 있다. 정대현 기자 jhyun@ “우린 젊은데… 큰일 있겠어요?” 지난 14일 오후 <b>부산</b> <b>부산</b>진구 <b>서면</b>은 20~30대... ,http://www.busan.com/view/busan/view.php?code=2020031519223524094,https://n.news.naver.com/mnews/article/082/0000988708?sid=102,2020-03-15 19:30:00
346,"갈비곳간, &quot;봄기운 가득한 샐러드로 힘든 시기 극복해요!&quot;","&quot;코로나19 사태로 어수선해진 사회 분위기…, <b>부산 서면 맛집</b> '갈비곳간'이 마련한 '봄 샐러드'로 산뜻한 감각을 되찾으세요.&quot; 갈비곳간은 10일 새싹이 파릇하게 돋아나는 새봄맞이 식단으로 △초벌 부추와 한재 미나리를... ",http://www.busan.com/view/busan/view.php?code=2020031014155777773,https://n.news.naver.com/mnews/article/082/0000987358?sid=102,2020-03-10 14:22:00
347,"[안병익의 식신 <b>맛집</b>] 노릇노릇 쫄깃하고 고소한, 인생 닭꼬치 구이 맛...","쫄깃한 식감과 고소한 풍미를 동시에 맛볼 수 있는, 인생 닭꼬치 구이 <b>맛집</b> BEST 5를 소개한다. 닭 구이... 계양간, <b>부산 서면</b> 토리고야패밀리춘일, <b>부산</b> 전포카페거리 야타이미세, 압구정 토리준, 신촌 이대 대전해장국... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1372995,http://www.enewstoday.co.kr/news/articleView.html?idxno=1372995,2020-03-07 00:05:00
348,"일품장원돼지국밥, 30년 전통을 지키는 <b>부산 서면 맛집</b>으로 자리매김하...",<b>부산 서면</b> 인근에 거주하는 주민들과 근무를 하는 직장인들 사이에 유명한 돼지국밥집이 있다.... <b>서면</b> 24시간 <b>맛집</b>으로도 유명한 이곳은 이른 오전시간은 물론 점심과 새벽 시간에도 사람들이 식사를 하러 찾아온다고... ,http://www.ngetnews.com/news/articleView.html?idxno=300770,http://www.ngetnews.com/news/articleView.html?idxno=300770,2020-02-28 19:54:00
349,"[안병익의 식신 <b>맛집</b>] 탱글한 선어와 녹진한 초밥의 향연, 스시 오마카...","탱글한 선어와 녹진한 샤리가 만난, 스시 오마카세 신흥<b>맛집</b> BEST 5를 알아보자. 서울 스시 오마카세... 갓포아오이, <b>부산 서면</b> 모모야마, 해운대 아오모리, 광복동 삼송초밥, 해운대 우미, 해운대 사카나식당, 대구 수성... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1368139,http://www.enewstoday.co.kr/news/articleView.html?idxno=1368139,2020-02-15 00:05:00
350,"<b>부산</b> 사시미 <b>맛집</b> <b>서면</b> 술집 '카오리(かおり)', 모리아와세 먹으러 가볼...","있는 <b>부산</b> 광역시 최대 번화가다. 곳곳마다 젊은이들의 취향에 맞춘 이색적인 밥집, 술집, 고기집, 카페, 이자카야, 횟집 등 다양한 <b>맛집</b> 등을 쉽게 찾을 수 있다. 전포동 nc백화점 <b>서면</b>점 맞은편 상가지역 골목 사이에 위치한... ",http://sports.chosun.com/news/ntype.htm?id=202002140100107630007016&servicedate=20200214,https://n.news.naver.com/mnews/article/076/0003531364?sid=103,2020-02-14 16:04:00
351,"고코투어, 연인들을 위한 보고·먹고·즐기는 익사이팅 가득한 전국 데...","이름으로, <b>맛집</b> 뿐 아니라 프리마켓 버스킹공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.cstimes.com/news/articleView.html?idxno=402234,http://www.cstimes.com/news/articleView.html?idxno=402234,2020-02-05 19:32:00
352,'생방송투데이-리얼<b>맛집</b>' <b>부산 서면</b> 꽃수레전골 요리주점 위치는?,"또는 <b>맛집</b>과 명소가 두루 소개됐다. <b>부산 서면</b>역 인근 전포카페거리 쪽에 위치한 해당 <b>맛집</b>은 셀럽들이 자주 '출몰'한다는 분위기 좋은 요리 주점이다. <b>서면</b> 핫플레이스로 통하며 직원들도 친절해 만족도가 높고, 음식... ",http://www.topstarnews.net/news/articleView.html?idxno=727886,http://www.topstarnews.net/news/articleView.html?idxno=727886,2020-02-05 18:57:00
353,"'생방송 투데이' 오늘방송<b>맛집</b>- 리얼 <b>맛집</b>, 까다로운 식재료로 꽃피운 ...","<b>부산 서면 맛집</b>으로 통하는 '우○'에서는 다양한 술안주를 만날 수 있다. 가장 인기 메뉴는 꽃수레전골. 꽃수레전골(우리가전골)은 수구레 대창, 수제비, 순대와 각종 채소가 어우러진 진한 국물맛을 자랑한다. 해당... ",http://www.etoday.co.kr/news/section/newsview.php?idxno=1853215,http://www.etoday.co.kr/news/section/newsview.php?idxno=1853215,2020-02-05 16:56:00
354,연인들을 위한 핫플레이스 7선...최고 데이트 즐기며 인생샷!,"이름으로, <b>맛집</b> 뿐 아니라 프리마켓 버스킹공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.tournews21.com/news/articleView.html?idxno=41108,http://www.tournews21.com/news/articleView.html?idxno=41108,2020-02-04 14:12:00
355,[비주얼 뉴스] 식상한 데이트는 그만... 연인들을 위한 인생샷 여행장소,"이름으로, <b>맛집</b> 뿐 아니라 프리마켓 버스킹공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.ttlnews.com/article/KOREA/7441,http://www.ttlnews.com/article/KOREA/7441,2020-02-04 14:04:00
356,"고코투어, 입춘맞이 스페셜 데이트+인생샷 전국 핫플레이스 소개","이름으로, <b>맛집</b>뿐 아니라 프리마켓 버스킹 공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.slist.kr/news/articleView.html?idxno=132631,http://www.slist.kr/news/articleView.html?idxno=132631,2020-02-04 10:44:00
357,"어서와~ 이런 데이트는 처음이지...고코투어, 연인들 위한 이색 데이트...","이름으로 <b>맛집</b> 뿐 아니라 프리마켓 버스킹공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.updownnews.co.kr/news/articleView.html?idxno=214577,http://www.updownnews.co.kr/news/articleView.html?idxno=214577,2020-02-04 09:34:00
358,"고코투어, 풋풋한 연예초기 연인 위한 데이터장소 소개","전주 객리단길은 조선 시대 유적인 객사와 서울의 경리단길을 합쳐서 만들어진 이름으로, <b>맛집</b> 뿐 아니라... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할... ",http://www.press9.kr/news/articleView.html?idxno=41659,http://www.press9.kr/news/articleView.html?idxno=41659,2020-02-04 09:26:00
359,`연인들을 위한 인생샷` 이색 데이트 핫플레이스 어디?,"이름으로, <b>맛집</b> 뿐 아니라 프리마켓 버스킹공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.gpkorea.com/news/articleView.html?idxno=61456,http://www.gpkorea.com/news/articleView.html?idxno=61456,2020-02-04 09:18:00
360,"고코투어, 식상한 데이트는 그만, 연인들을 위한 인생샷 여행장소 소개","이름으로, <b>맛집</b> 뿐 아니라 프리마켓 버스킹공연 등 다양한 볼거리가 넘친다. 볼거리 외 먹을거리도 많아... <b>부산 서면</b>에 위치한 이곳은 알락꼬리여우원숭이부터 왕부리새 토코쿠칸, 악어 등 수십 종의 동물들과 교감할 수... ",http://www.tourtimes.net/159354,http://www.tourtimes.net/159354,2020-02-04 09:18:00
361,"전포동<b>맛집</b> `부엔디아`, <b>서면</b>데이트 코스로 제격",<b>부산 서면</b>에서도 스페인 현지요리를 맛볼 수 있다. <b>서면</b> 전포동<b>맛집</b>으로도 유명한 부엔디아는 해외경력이 풍부한 우미혜 대표가 직접 스페인 요리를 해서 더욱 입소문을 타고 있다. 저렴한 가격의 브런치를 포함해 다양한... ,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065575529313229,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065575529313229,2020-01-08 10:16:00
362,롯데백화점 <b>부산</b>본점 매출 1조원 시대 개막,대처 <b>부산 서면</b> 롯데백화점 <b>부산</b>본점이 개장 22년 만에 '매출 1조 원'을 달성했다. 매출 1조 원 백화점은... 80여 개가 넘는 국내외 유명 <b>맛집</b>과 프리미엄 리빙 전문관 유치 전략이 주효한 것으로 분석됐다. <b>부산</b>본점은... ,https://www.nbntv.kr/news/articleView.html?idxno=138875,https://www.nbntv.kr/news/articleView.html?idxno=138875,2019-12-29 14:44:00
363,[안병익의 식신 <b>맛집</b>] &quot;올해도 수고했어&quot; 청춘을 위로해주는 따뜻한 한...,"서울 국밥 <b>맛집</b>으로는 명동 하동관, 인사동 이문설렁탕, 시청 무교동북어국집, 용두동 어머니대성집, 마포... 육거리곰탕, <b>부산 서면</b> 송정3대국밥, 해운대 형제전통돼지국밥, 부여 엄가네곰탕, <b>부산</b> 범일 50년전통할매국밥... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1358425,http://www.enewstoday.co.kr/news/articleView.html?idxno=1358425,2019-12-28 00:10:00
364,포방터 돈가스집도 쫓겨났나…<b>맛집</b>에 '배 아픈' 상인회,2017년에도 길음시장의 청년 상인들과 기존 상인회가 &quot;청년 상인들 때문에 상품에 손실을 입었다&quot;며 &quot;300만원을 배상하라&quot;는 논란이 일었다.지난 7월에는 <b>부산 서면</b>시장의 청년몰 '온나(ONNA)'상인회가 전통시장 상인회와의... ,http://news.mt.co.kr/mtview.php?no=2019121912452828250,https://n.news.naver.com/mnews/article/008/0004328014?sid=102,2019-12-20 04:30:00
365,#인생<b>맛집</b> #당일치기 #유튜브 중계 #찐여행,"유성 <b>맛집</b>(6위) 등 구체적 지역이 많이 언급됐다. SNS에서 많이 검색된 국내 여행 명소 목록에는 거제도, 구좌읍, 인천 송도, <b>부산 서면</b>, 포항, 수원, 양주, 의정부, 김포, 경산 등이 신규로 순위권에 진입했다.... ",https://view.asiae.co.kr/article/2019121611524396127,https://n.news.naver.com/mnews/article/277/0004590047?sid=103,2019-12-16 11:52:00
366,"해운대에서, 대숲에서, DDP에서… 빛의 향연, 연말연시 황홀한 겨울밤을...","<b>부산</b>크리스마스트리문화축제는 규모가 크고 BIFF 광장, <b>부산</b>타워, 국제시장, 남포동 <b>맛집</b>들을 함께 둘러볼... 올해 처음으로 열리는 <b>부산 서면</b>트리축제도 가볼 만하다. <b>서면</b> 놀이마루를 중심으로 전포카페거리와 젊음의... ",https://news.chosun.com/site/data/html_dir/2019/12/13/2019121302332.html?utm_source=naver&utm_medium=original&utm_campaign=news,https://n.news.naver.com/mnews/article/023/0003493298?sid=103,2019-12-14 03:03:00
367,<b>부산 서면</b> 전포동에 위치한 ‘오파스’ 호텔급 쉐프의 요리로 주목,<b>부산 서면</b>인근 전포동에 위치한 ‘오파스’를 창업한 박지성 사장은 인터콘티넨탈 호텔 등 약 10년 넘게... 밀집한 <b>서면</b>에서 어지간해서는 <b>맛집</b>으로 인정받기 어렵지만 그만큼의 자신을 가지고 있다고 한다. 박지성 사장은... ,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065597348424063,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065597348424063,2019-12-12 16:18:00
368,[안병익의 식신 <b>맛집</b>] 폭신하고 쫄깃한 맛의 완전체! 마성의 인생 빵집...,"모루과자점, <b>부산 서면</b> 쇼쿠팡, <b>부산</b> 동래 밀한줌, 남천동 무슈뱅상, <b>서면</b> 아티성블렁제리빵빵빵, 해운대... 빵 <b>맛집</b> 만동제과는 사랑입니다. 여기 마늘 빵 먹고 진짜 신세계를 맛봤어요. 마늘 빵이 이렇게 맛있는... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1354141,http://www.enewstoday.co.kr/news/articleView.html?idxno=1354141,2019-12-07 00:15:00
369,대전 솔트(구름파스타)-갈월동 이웃집영준이(통도미튀김)-<b>부산 서면</b> 그...,곱창닭볶음탕' <b>서면 맛집</b>으로 알려진 '그집 곱도리탕(<b>부산</b>광역시 <b>부산</b>진구 부전동)'을 찾아 '곱창닭볶음탕＆볶음밥' 메뉴로 이뤄낸 대박의 비결을 듣는다. 성규환 <b>부산</b>닷컴 기자 bastion@,http://www.busan.com/view/busan/view.php?code=2019120516381874707,https://n.news.naver.com/mnews/article/082/0000963671?sid=103,2019-12-05 18:16:00
